Year,Name,Address,Neighborhood,Neighborhood (Spanish),Precinct(s),Mega Site,Early Voting,Election Day Voting
2014,Carver Museum Complex,1165 Angelina St.,East,Este,124,FALSE,TRUE,TRUE
2014,Ben Hur Shrine Center,7811 Rockwood Ln.,North ,Norte,243,FALSE,TRUE,TRUE
2014,Randalls Steiner Ranch,5145 RM 620 North,Northwest,Noroeste,244,FALSE,TRUE,TRUE
2014,Randalls Lakeway,2301 RR 620 South,West,Oeste,320,FALSE,TRUE,TRUE
2014,Randalls Research and Braker,10900-D Research Blvd.,Northwest,Noroeste,323,FALSE,TRUE,TRUE
2014,Randalls South Mopac and William Cannon,6600 South Mopac,Southwest,Suroeste,351,FALSE,TRUE,TRUE
2014,Del Valle ISD Administration Building,5301 Ross Rd.,Southeast,Sureste,401,FALSE,TRUE,TRUE
2014,HEB South Congress,2400 South Congress Ave. ,South ,Sur,424,FALSE,TRUE,TRUE
2014,Parque Zaragoza Recreation Center,2608 Gonzales St.,East,Este,426,FALSE,TRUE,TRUE
2014,Dan Ruiz Public Library,1600 Grove Blvd.,Southeast,Sureste,429,FALSE,TRUE,TRUE
2014,Gus Garcia Recreation Center,1201 East Rundberg Ln.,Northeast,Noreste,"139, 140, 141",FALSE,TRUE,TRUE
2014,"County Tax Office, Pflugerville Community Room ",15822 Foothill Farms Loop,North ,Norte,"148, 146",FALSE,TRUE,TRUE
2014,Howson Public Library,2500 Exposition Blvd.,Central ,Central,"256, 266",FALSE,TRUE,TRUE
2014,University of Texas Flawn Academic Center Lobby,2400 Inner Campus Dr. ,Central ,Central,"277, 208",FALSE,TRUE,TRUE
2014,Bee Cave City Hall,4000 Galleria Pkwy.,West,Oeste,"324, 325, 368",FALSE,TRUE,TRUE
2014,Randalls Ben White and Manchac,2025 West Ben White Blvd.,South ,Sur,"454, 412",FALSE,TRUE,TRUE
2014,Fiesta Mart Central in Delwood Shopping Center ,3909 North IH-35,Central ,Central ,,FALSE,TRUE,TRUE
2014,Delco Center,4601 Pecan Brook Dr. ,Northeast,Noreste,,FALSE,TRUE,TRUE
2014,Fiesta Mart Stassney,5510 South IH-35,Southeast,Sureste,,FALSE,TRUE,TRUE
2014,Randalls Brodie and Slaughter,9911 Brodie Ln.,Southwest,Suroeste,,FALSE,TRUE,TRUE
2014,Copperfield Elementary School,12135 Thompkins Dr.,,,102,FALSE,FALSE,TRUE
2014,Manor ISD Admin. Building,10335 US Highway 290E,,,105,FALSE,FALSE,TRUE
2014,Elgin High School ,14000 County Line Rd.,,,106,FALSE,FALSE,TRUE
2014,New Sweden Lutheran Church,12809 New Sweden Church Rd.,,,107,FALSE,FALSE,TRUE
2014,Dessau Elementary School,1501 Dessau Ridge Ln.,,,112,FALSE,FALSE,TRUE
2014,Wieland Elementary School,900 Tudor House Rd.,,,113,FALSE,FALSE,TRUE
2014,YMCA East Community Branch,5315 Ed Bluestein Blvd.,,,122,FALSE,FALSE,TRUE
2014,Murchison Elementary School,2215 Kelly Ln.,,,123,FALSE,FALSE,TRUE
2014,Carver Branch Library,1161 Angelina St.,,,124,FALSE,FALSE,TRUE
2014,David Chapel Portable,2211 East MLK Jr. Blvd.,,,126,FALSE,FALSE,TRUE
2014,Pecan Springs Elementary School,3100 Rogge Ln.,,,132,FALSE,FALSE,TRUE
2014,Blanton Elementary School,5408 Westminster Dr.,,,133,FALSE,FALSE,TRUE
2014,Messiah Lutheran Church,5701 Cameron Rd.,,,135,FALSE,FALSE,TRUE
2014,Pfluger Hall,203B East Pecan St.,,,136,FALSE,FALSE,TRUE
2014,Highland Mall ,"6001 Airport Blvd., Ste. #1020",,,142,FALSE,FALSE,TRUE
2014,Windermere Elementary School,1101 Picadilly Dr.,,,145,FALSE,FALSE,TRUE
2014,Reilly Elementary School,405 Denson Dr.,,,149,FALSE,FALSE,TRUE
2014,Brookhollow Elementary School,1200 North Railroad Ave.,,,150,FALSE,FALSE,TRUE
2014,Dottie Jordan Recreation Center,2803 Loyola Ln.,,,151,FALSE,FALSE,TRUE
2014,Maplewood Elementary School,3808 Maplewood Ave.,,,152,FALSE,FALSE,TRUE
2014,Pioneer Crossing Elementary,11300 Samsung Blvd.,,,153,FALSE,FALSE,TRUE
2014,Virginia Brown Recreation Center ,7500 Blessing Ave. ,,,156,FALSE,FALSE,TRUE
2014,Spring Hill Elementary School,600 South Heatherwilde Blvd.,,,160,FALSE,FALSE,TRUE
2014,Barrington Elementary School,400 Cooper Dr.,,,164,FALSE,FALSE,TRUE
2014,Winters Building,701 West 51st St.,,,200,FALSE,FALSE,TRUE
2014,Red River Church,4425 Red River St.,,,202,FALSE,FALSE,TRUE
2014,River Oaks Elementary ,12401 Scofield Farms Dr.,,,205,FALSE,FALSE,TRUE
2014,Lee Elementary School,3308 Hampton Rd.,,,206,FALSE,FALSE,TRUE
2014,YMCA Northwest Branch,5807 McNeil Dr. ,,,207,FALSE,FALSE,TRUE
2014,Bryker Woods Elementary School,3309 Kerbey Ln.,,,214,FALSE,FALSE,TRUE
2014,Northwest Elementary School,14014 Thermal Dr.,,,216,FALSE,FALSE,TRUE
2014,ACC Northridge Campus,11928 Stonehollow Dr.,,,218,FALSE,FALSE,TRUE
2014,Caldwell Elementary School,1718 Picadilly Dr.,,,219,FALSE,FALSE,TRUE
2014,Canyon Ridge Middle School,12601 Country Trails Ln.,,,232,FALSE,FALSE,TRUE
2014,Shepherd of the Hills Christian ,6909 West Courtyard Dr. ,,,233,FALSE,FALSE,TRUE
2014,Austin Christian Fellowship,6401 River Place Blvd.,,,234,FALSE,FALSE,TRUE
2014,McCallum High School,5600 Sunshine Dr.,,,235,FALSE,FALSE,TRUE
2014,Rosedale School,2117 West 49th St.,,,236,FALSE,FALSE,TRUE
2014,Highland Park Baptist Church,5206 Balcones Dr.,,,237,FALSE,FALSE,TRUE
2014,Murchison Middle School,3700 North Hills Dr.,,,238,FALSE,FALSE,TRUE
2014,Gullett Elementary School,6310 Treadwell Blvd.,,,239,FALSE,FALSE,TRUE
2014,Highland Park Elementary School,4900 Fairview Dr.,,,240,FALSE,FALSE,TRUE
2014,Brentwood Elementary School,6700 Arroyo Seco,,,241,FALSE,FALSE,TRUE
2014,Northwest Baptist Church,6301 Woodrow Ave.,,,242,FALSE,FALSE,TRUE
2014,Grandview Hills Elementary School,12024 Vista Parke Dr.,,,245,FALSE,FALSE,TRUE
2014,Hill Elementary School ,8601 Tallwood Dr. ,,,246,FALSE,FALSE,TRUE
2014,Doss Elementary School,7005 Northledge Dr.,,,247,FALSE,FALSE,TRUE
2014,Burnet Middle School,8401 Hathaway Dr.,,,248,FALSE,FALSE,TRUE
2014,St. Luke United Methodist Ch. ,1306 West Lynn St.,,,250,FALSE,FALSE,TRUE
2014,North Village Library,2505 Steck Ave.,,,252,FALSE,FALSE,TRUE
2014,First Presbyterian Church,8001 Mesa Dr.,,,253,FALSE,FALSE,TRUE
2014,McBee Elementary School,1001 West Braker Ln.,,,258,FALSE,FALSE,TRUE
